ITEM_NUMBER,AWARD_YEAR,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_COUNTRY,DESTINATION_CITY_NAME,DESTINATION_STATE,DESTINATION_COUNTRY,AIRLINE_ABBREVIATION,AWARDED_SERVICE,YCA_FARE,_CA_FARE,BUSINESS_FARE,EFFECTIVE_DATE,EXPIRATION_DATE
534,2014,BUF,EWR,BUFFALO,NY,USA,NEWARK,NJ,USA,US,C,399,249,0,10/1/2013 0:00,9/30/2014 0:00
535,2014,BUF,IAD,BUFFALO,NY,USA,WASHINGTON,DC,USA,UA,N,241,161,0,10/1/2013 0:00,9/30/2014 0:00
536,2014,BUF,JFK,BUFFALO,NY,USA,NEW YORK,NY,USA,DL,N,199,59,0,10/1/2013 0:00,9/30/2014 0:00
538,2014,BUF,MCO,BUFFALO,NY,USA,ORLANDO,FL,USA,B6,N,229,129,0,10/1/2013 0:00,9/30/2014 0:00
539,2014,BUF,MDW,BUFFALO,NY,USA,CHICAGO,IL,USA,WN,N,180,0,0,10/1/2013 0:00,9/30/2014 0:00
540,2014,BUF,MSP,BUFFALO,NY,USA,MINNEAPOLIS-ST.PAUL,MN,USA,UA,C,143,0,0,10/1/2013 0:00,9/30/2014 0:00
541,2014,BUF,ORD,BUFFALO,NY,USA,CHICAGO,IL,USA,AA,N,158,131,0,10/1/2013 0:00,9/30/2014 0:00
542,2014,BUF,PHL,BUFFALO,NY,USA,PHILADELPHIA,PA,USA,US,N,437,379,0,10/1/2013 0:00,9/30/2014 0:00
543,2014,BUF,PHX,BUFFALO,NY,USA,PHOENIX/SCOTTSDALE,AZ,USA,WN,N,276,0,0,10/1/2013 0:00,9/30/2014 0:00
544,2014,BUF,SAN,BUFFALO,NY,USA,SAN DIEGO,CA,USA,DL,C,349,174,0,10/1/2013 0:00,9/30/2014 0:00
545,2014,BUR,DCA,LOS ANGELES,CA,USA,WASHINGTON,DC,USA,DL,C,474,284,0,10/1/2013 0:00,9/30/2014 0:00
546,2014,BUR,DEN,LOS ANGELES,CA,USA,DENVER,CO,USA,WN,N,294,0,0,10/1/2013 0:00,9/30/2014 0:00
547,2014,BUR,OAK,LOS ANGELES,CA,USA,SAN FRANCISCO,CA,USA,WN,N,195,0,0,10/1/2013 0:00,9/30/2014 0:00
548,2014,BUR,PDX,LOS ANGELES,CA,USA,PORTLAND,OR,USA,AS,N,249,199,0,10/1/2013 0:00,9/30/2014 0:00
549,2014,BUR,SEA,LOS ANGELES,CA,USA,SEATTLE-TACOMA,WA,USA,AS,N,299,209,0,10/1/2013 0:00,9/30/2014 0:00
550,2014,BUR,SFO,LOS ANGELES,CA,USA,SAN FRANCISCO,CA,USA,UA,N,368,0,0,10/1/2013 0:00,9/30/2014 0:00
551,2014,BUR,SLC,LOS ANGELES,CA,USA,SALT LAKE CITY,UT,USA,DL,N,332,278,0,10/1/2013 0:00,9/30/2014 0:00
553,2014,BWI,CHS,WASHINGTON,DC,USA,CHARLESTON,SC,USA,WN,N,223,187,0,10/1/2013 0:00,9/30/2014 0:00
554,2014,BWI,CLE,WASHINGTON,DC,USA,CLEVELAND,OH,USA,WN,N,143,128,0,10/1/2013 0:00,9/30/2014 0:00
555,2014,BWI,CLT,WASHINGTON,DC,USA,CHARLOTTE,NC,USA,WN,N,132,0,0,10/1/2013 0:00,9/30/2014 0:00
556,2014,BWI,CMH,WASHINGTON,DC,USA,COLUMBUS,OH,USA,WN,N,175,141,0,10/1/2013 0:00,9/30/2014 0:00
557,2014,BWI,COS,WASHINGTON,DC,USA,COLORADO SPRINGS,CO,USA,UA,C,242,0,0,10/1/2013 0:00,9/30/2014 0:00
559,2014,BWI,CVG,WASHINGTON,DC,USA,CINCINNATI,OH,USA,DL,N,486,297,0,10/1/2013 0:00,9/30/2014 0:00
560,2014,BWI,DAL,WASHINGTON,DC,USA,DALLAS-FT. WORTH,TX,USA,DL,C,256,160,0,10/1/2013 0:00,9/30/2014 0:00
561,2014,BWI,DAY,WASHINGTON,DC,USA,DAYTON,OH,USA,WN,N,172,0,0,10/1/2013 0:00,9/30/2014 0:00
562,2014,BWI,DEN,WASHINGTON,DC,USA,DENVER,CO,USA,WN,N,259,154,0,10/1/2013 0:00,9/30/2014 0:00
563,2014,BWI,DFW,WASHINGTON,DC,USA,DALLAS-FT. WORTH,TX,USA,AA,N,406,203,0,10/1/2013 0:00,9/30/2014 0:00
564,2014,BWI,DTW,WASHINGTON,DC,USA,DETROIT,MI,USA,DL,N,201,155,0,10/1/2013 0:00,9/30/2014 0:00
565,2014,BWI,ECP,WASHINGTON,DC,USA,PANAMA CITY,FL,USA,WN,N,294,239,0,10/1/2013 0:00,9/30/2014 0:00
566,2014,BWI,ELP,WASHINGTON,DC,USA,EL PASO,TX,USA,UA,C,287,0,0,10/1/2013 0:00,9/30/2014 0:00
567,2014,BWI,EWR,WASHINGTON,DC,USA,NEWARK,NJ,USA,UA,N,247,190,0,10/1/2013 0:00,9/30/2014 0:00
569,2014,BWI,FLL,WASHINGTON,DC,USA,FT. LAUDERDALE,FL,USA,WN,N,176,0,0,10/1/2013 0:00,9/30/2014 0:00
570,2014,BWI,GPT,WASHINGTON,DC,USA,GULFPORT,MS,USA,DL,C,244,179,0,10/1/2013 0:00,9/30/2014 0:00
571,2014,BWI,GRK,WASHINGTON,DC,USA,KILLEEN GRAY AAF,TX,USA,DL,C,441,220,0,10/1/2013 0:00,9/30/2014 0:00
572,2014,BWI,GRR,WASHINGTON,DC,USA,GRAND RAPIDS,MI,USA,WN,N,160,0,0,10/1/2013 0:00,9/30/2014 0:00
573,2014,BWI,HNL,WASHINGTON,DC,USA,HONOLULU,HI,USA,UA,C,462,0,0,10/1/2013 0:00,9/30/2014 0:00
574,2014,BWI,HOU,WASHINGTON,DC,USA,HOUSTON,TX,USA,WN,N,270,0,0,10/1/2013 0:00,9/30/2014 0:00
575,2014,BWI,HSV,WASHINGTON,DC,USA,HUNTSVILLE,AL,USA,DL,C,343,172,0,10/1/2013 0:00,9/30/2014 0:00
576,2014,BWI,IAH,WASHINGTON,DC,USA,HOUSTON,TX,USA,UA,N,242,220,0,10/1/2013 0:00,9/30/2014 0:00
577,2014,BWI,IND,WASHINGTON,DC,USA,INDIANAPOLIS,IN,USA,WN,N,163,0,0,10/1/2013 0:00,9/30/2014 0:00
578,2014,BWI,JAN,WASHINGTON,DC,USA,JACKSON,MS,USA,DL,C,246,154,0,10/1/2013 0:00,9/30/2014 0:00
579,2014,BWI,JAX,WASHINGTON,DC,USA,JACKSONVILLE,FL,USA,WN,N,191,0,0,10/1/2013 0:00,9/30/2014 0:00
580,2014,BWI,JFK,WASHINGTON,DC,USA,NEW YORK,NY,USA,AA,N,152,76,0,10/1/2013 0:00,9/30/2014 0:00
581,2014,BWI,LAS,WASHINGTON,DC,USA,LAS VEGAS,NV,USA,WN,N,278,0,0,10/1/2013 0:00,9/30/2014 0:00
582,2014,BWI,LAX,WASHINGTON,DC,USA,LOS ANGELES,CA,USA,WN,N,303,232,0,10/1/2013 0:00,9/30/2014 0:00
583,2014,BWI,LIT,WASHINGTON,DC,USA,LITTLE ROCK,AR,USA,WN,N,306,0,0,10/1/2013 0:00,9/30/2014 0:00
584,2014,BWI,MCI,WASHINGTON,DC,USA,KANSAS CITY,MO,USA,WN,N,211,0,0,10/1/2013 0:00,9/30/2014 0:00
585,2014,BWI,MCO,WASHINGTON,DC,USA,ORLANDO,FL,USA,WN,N,178,0,0,10/1/2013 0:00,9/30/2014 0:00
586,2014,BWI,MDW,WASHINGTON,DC,USA,CHICAGO,IL,USA,WN,N,194,0,0,10/1/2013 0:00,9/30/2014 0:00
587,2014,BWI,MEM,WASHINGTON,DC,USA,MEMPHIS,TN,USA,DL,C,303,151,0,10/1/2013 0:00,9/30/2014 0:00
588,2014,BWI,MGM,WASHINGTON,DC,USA,MONTGOMERY,AL,USA,US,C,417,221,0,10/1/2013 0:00,9/30/2014 0:00
589,2014,BWI,MIA,WASHINGTON,DC,USA,MIAMI,FL,USA,AA,N,304,152,0,10/1/2013 0:00,9/30/2014 0:00
590,2014,BWI,MLI,WASHINGTON,DC,USA,MOLINE,IL,USA,DL,C,242,151,0,10/1/2013 0:00,9/30/2014 0:00
591,2014,BWI,MSN,WASHINGTON,DC,USA,MADISON,WI,USA,DL,C,238,149,0,10/1/2013 0:00,9/30/2014 0:00
592,2014,BWI,MSP,WASHINGTON,DC,USA,MINNEAPOLIS-ST.PAUL,MN,USA,DL,N,400,200,0,10/1/2013 0:00,9/30/2014 0:00
593,2014,BWI,MSY,WASHINGTON,DC,USA,NEW ORLEANS,LA,USA,WN,N,313,195,0,10/1/2013 0:00,9/30/2014 0:00
594,2014,BWI,OAK,WASHINGTON,DC,USA,SAN FRANCISCO,CA,USA,WN,C,294,0,0,10/1/2013 0:00,9/30/2014 0:00
595,2014,BWI,OKC,WASHINGTON,DC,USA,OKLAHOMA CITY,OK,USA,WN,N,170,0,0,10/1/2013 0:00,9/30/2014 0:00
596,2014,BWI,OMA,WASHINGTON,DC,USA,OMAHA,NE,USA,DL,C,252,158,0,10/1/2013 0:00,9/30/2014 0:00
597,2014,BWI,ONT,WASHINGTON,DC,USA,LOS ANGELES,CA,USA,WN,C,214,0,0,10/1/2013 0:00,9/30/2014 0:00
598,2014,BWI,ORD,WASHINGTON,DC,USA,CHICAGO,IL,USA,AA,N,166,138,0,10/1/2013 0:00,9/30/2014 0:00
599,2014,BWI,ORF,WASHINGTON,DC,USA,NORFOLK,VA,USA,WN,N,200,153,0,10/1/2013 0:00,9/30/2014 0:00
600,2014,BWI,PDX,WASHINGTON,DC,USA,PORTLAND,OR,USA,DL,C,349,176,0,10/1/2013 0:00,9/30/2014 0:00
602,2014,BWI,PHX,WASHINGTON,DC,USA,PHOENIX/SCOTTSDALE,AZ,USA,WN,N,288,0,0,10/1/2013 0:00,9/30/2014 0:00
603,2014,BWI,PNS,WASHINGTON,DC,USA,PENSACOLA,FL,USA,DL,C,242,151,0,10/1/2013 0:00,9/30/2014 0:00
604,2014,BWI,PVD,WASHINGTON,DC,USA,PROVIDENCE,RI,USA,WN,N,170,0,0,10/1/2013 0:00,9/30/2014 0:00
605,2014,BWI,PWM,WASHINGTON,DC,USA,PORTLAND,ME,USA,WN,N,191,0,0,10/1/2013 0:00,9/30/2014 0:00
606,2014,BWI,RDU,WASHINGTON,DC,USA,RALEIGH-DURHAM,NC,USA,WN,N,167,128,0,10/1/2013 0:00,9/30/2014 0:00
607,2014,BWI,RNO,WASHINGTON,DC,USA,RENO,NV,USA,DL,C,349,176,0,10/1/2013 0:00,9/30/2014 0:00
608,2014,BWI,ROC,WASHINGTON,DC,USA,ROCHESTER,NY,USA,WN,N,184,0,0,10/1/2013 0:00,9/30/2014 0:00
609,2014,BWI,RSW,WASHINGTON,DC,USA,FT. MYERS,FL,USA,WN,N,225,0,0,10/1/2013 0:00,9/30/2014 0:00
610,2014,BWI,SAN,WASHINGTON,DC,USA,SAN DIEGO,CA,USA,WN,N,350,273,0,10/1/2013 0:00,9/30/2014 0:00
611,2014,BWI,SAT,WASHINGTON,DC,USA,SAN ANTONIO,TX,USA,WN,N,224,0,0,10/1/2013 0:00,9/30/2014 0:00
612,2014,BWI,SAV,WASHINGTON,DC,USA,SAVANNAH,GA,USA,DL,C,244,179,0,10/1/2013 0:00,9/30/2014 0:00
613,2014,BWI,SDF,WASHINGTON,DC,USA,LOUISVILLE,KY,USA,WN,N,221,0,0,10/1/2013 0:00,9/30/2014 0:00
614,2014,BWI,SEA,WASHINGTON,DC,USA,SEATTLE-TACOMA,WA,USA,WN,N,274,0,0,10/1/2013 0:00,9/30/2014 0:00
615,2014,BWI,SFO,WASHINGTON,DC,USA,SAN FRANCISCO,CA,USA,UA,N,349,233,0,10/1/2013 0:00,9/30/2014 0:00
616,2014,BWI,SJU,WASHINGTON,DC,USA,SAN JUAN,PR,USA,WN,N,218,0,0,10/1/2013 0:00,9/30/2014 0:00
617,2014,BWI,SLC,WASHINGTON,DC,USA,SALT LAKE CITY,UT,USA,WN,N,355,282,0,10/1/2013 0:00,9/30/2014 0:00
618,2014,BWI,SMF,WASHINGTON,DC,USA,SACRAMENTO,CA,USA,WN,C,228,0,0,10/1/2013 0:00,9/30/2014 0:00
619,2014,BWI,SNA,WASHINGTON,DC,USA,ORANGE COUNTY,CA,USA,AA,C,219,183,0,10/1/2013 0:00,9/30/2014 0:00
620,2014,BWI,STL,WASHINGTON,DC,USA,ST. LOUIS,MO,USA,WN,N,220,0,0,10/1/2013 0:00,9/30/2014 0:00
621,2014,BWI,TPA,WASHINGTON,DC,USA,TAMPA,FL,USA,WN,N,210,0,0,10/1/2013 0:00,9/30/2014 0:00
622,2014,BWI,TUL,WASHINGTON,DC,USA,TULSA,OK,USA,DL,C,252,158,0,10/1/2013 0:00,9/30/2014 0:00
623,2014,BWI,TUS,WASHINGTON,DC,USA,TUCSON,AZ,USA,AA,C,218,182,0,10/1/2013 0:00,9/30/2014 0:00
624,2014,BWI,TYS,WASHINGTON,DC,USA,KNOXVILLE,TN,USA,DL,C,392,225,0,10/1/2013 0:00,9/30/2014 0:00
625,2014,BWI,VPS,WASHINGTON,DC,USA,FT. WALTON BEACH,FL,USA,US,C,427,241,0,10/1/2013 0:00,9/30/2014 0:00
626,2014,BZN,DCA,BOZEMAN,MT,USA,WASHINGTON,DC,USA,DL,C,425,353,0,10/1/2013 0:00,9/30/2014 0:00
627,2014,BZN,DEN,BOZEMAN,MT,USA,DENVER,CO,USA,UA,N,279,186,0,10/1/2013 0:00,9/30/2014 0:00
628,2014,BZN,PDX,BOZEMAN,MT,USA,PORTLAND,OR,USA,AS,N,299,0,0,10/1/2013 0:00,9/30/2014 0:00
629,2014,BZN,SEA,BOZEMAN,MT,USA,SEATTLE-TACOMA,WA,USA,AS,N,279,0,0,10/1/2013 0:00,9/30/2014 0:00
630,2014,BZN,SLC,BOZEMAN,MT,USA,SALT LAKE CITY,UT,USA,DL,N,696,345,0,10/1/2013 0:00,9/30/2014 0:00
631,2014,CAE,CMH,COLUMBIA,SC,USA,COLUMBUS,OH,USA,US,C,425,249,0,10/1/2013 0:00,9/30/2014 0:00
633,2014,CAE,DEN,COLUMBIA,SC,USA,DENVER,CO,USA,DL,C,303,198,0,10/1/2013 0:00,9/30/2014 0:00
634,2014,CAE,DFW,COLUMBIA,SC,USA,DALLAS-FT. WORTH,TX,USA,AA,N,558,279,0,10/1/2013 0:00,9/30/2014 0:00
635,2014,CAE,DTW,COLUMBIA,SC,USA,DETROIT,MI,USA,UA,C,173,0,0,10/1/2013 0:00,9/30/2014 0:00
637,2014,CAE,IAD,COLUMBIA,SC,USA,WASHINGTON,DC,USA,UA,N,445,405,0,10/1/2013 0:00,9/30/2014 0:00
638,2014,CAE,IAH,COLUMBIA,SC,USA,HOUSTON,TX,USA,UA,N,296,269,0,10/1/2013 0:00,9/30/2014 0:00
639,2014,CAE,IND,COLUMBIA,SC,USA,INDIANAPOLIS,IN,USA,US,C,302,240,0,10/1/2013 0:00,9/30/2014 0:00
640,2014,CAE,LAS,COLUMBIA,SC,USA,LAS VEGAS,NV,USA,US,C,295,246,0,10/1/2013 0:00,9/30/2014 0:00
641,2014,CAE,LAX,COLUMBIA,SC,USA,LOS ANGELES,CA,USA,UA,C,253,0,0,10/1/2013 0:00,9/30/2014 0:00
642,2014,CAE,LGA,COLUMBIA,SC,USA,NEW YORK,NY,USA,UA,C,149,0,0,10/1/2013 0:00,9/30/2014 0:00
643,2014,CAE,MCI,COLUMBIA,SC,USA,KANSAS CITY,MO,USA,US,C,301,249,0,10/1/2013 0:00,9/30/2014 0:00
644,2014,CAE,MGM,COLUMBIA,SC,USA,MONTGOMERY,AL,USA,DL,C,434,240,0,10/1/2013 0:00,9/30/2014 0:00
646,2014,CAE,MHT,COLUMBIA,SC,USA,MANCHESTER,NH,USA,US,C,307,0,0,10/1/2013 0:00,9/30/2014 0:00
647,2014,CAE,MIA,COLUMBIA,SC,USA,MIAMI,FL,USA,US,C,430,269,0,10/1/2013 0:00,9/30/2014 0:00
648,2014,CAE,MKE,COLUMBIA,SC,USA,MILWAUKEE,WI,USA,DL,C,330,151,0,10/1/2013 0:00,9/30/2014 0:00
649,2014,CAE,MLI,COLUMBIA,SC,USA,MOLINE,IL,USA,DL,C,606,242,0,10/1/2013 0:00,9/30/2014 0:00
650,2014,CAE,MOB,COLUMBIA,SC,USA,MOBILE,AL,USA,DL,C,448,364,0,10/1/2013 0:00,9/30/2014 0:00
651,2014,CAE,MSN,COLUMBIA,SC,USA,MADISON,WI,USA,DL,C,484,393,0,10/1/2013 0:00,9/30/2014 0:00
652,2014,CAE,MSP,COLUMBIA,SC,USA,MINNEAPOLIS-ST.PAUL,MN,USA,DL,C,248,155,0,10/1/2013 0:00,9/30/2014 0:00
653,2014,CAE,MSY,COLUMBIA,SC,USA,NEW ORLEANS,LA,USA,US,C,499,259,0,10/1/2013 0:00,9/30/2014 0:00
655,2014,CAE,OKC,COLUMBIA,SC,USA,OKLAHOMA CITY,OK,USA,DL,C,310,155,0,10/1/2013 0:00,9/30/2014 0:00
656,2014,CAE,OMA,COLUMBIA,SC,USA,OMAHA,NE,USA,DL,C,248,155,0,10/1/2013 0:00,9/30/2014 0:00
658,2014,CAE,ORD,COLUMBIA,SC,USA,CHICAGO,IL,USA,UA,N,183,167,0,10/1/2013 0:00,9/30/2014 0:00
661,2014,CAE,PHL,COLUMBIA,SC,USA,PHILADELPHIA,PA,USA,US,N,399,199,0,10/1/2013 0:00,9/30/2014 0:00
662,2014,CAE,PHX,COLUMBIA,SC,USA,PHOENIX/SCOTTSDALE,AZ,USA,US,C,355,214,0,10/1/2013 0:00,9/30/2014 0:00
663,2014,CAE,RIC,COLUMBIA,SC,USA,RICHMOND,VA,USA,US,C,323,239,0,10/1/2013 0:00,9/30/2014 0:00
664,2014,CAE,SAN,COLUMBIA,SC,USA,SAN DIEGO,CA,USA,DL,C,380,190,0,10/1/2013 0:00,9/30/2014 0:00
665,2014,CAE,SAT,COLUMBIA,SC,USA,SAN ANTONIO,TX,USA,AA,C,352,176,0,10/1/2013 0:00,9/30/2014 0:00
666,2014,CAE,SDF,COLUMBIA,SC,USA,LOUISVILLE,KY,USA,US,C,310,236,0,10/1/2013 0:00,9/30/2014 0:00
667,2014,CAE,SEA,COLUMBIA,SC,USA,SEATTLE-TACOMA,WA,USA,DL,C,349,176,0,10/1/2013 0:00,9/30/2014 0:00
668,2014,CAE,SJU,COLUMBIA,SC,USA,SAN JUAN,PR,USA,DL,C,429,312,746,10/1/2013 0:00,9/30/2014 0:00
669,2014,CAE,SLC,COLUMBIA,SC,USA,SALT LAKE CITY,UT,USA,DL,C,476,396,0,10/1/2013 0:00,9/30/2014 0:00
670,2014,CAE,STL,COLUMBIA,SC,USA,ST. LOUIS,MO,USA,US,C,390,221,0,10/1/2013 0:00,9/30/2014 0:00
671,2014,CAE,TPA,COLUMBIA,SC,USA,TAMPA,FL,USA,US,C,371,261,0,10/1/2013 0:00,9/30/2014 0:00
673,2014,CAK,DCA,AKRON,OH,USA,WASHINGTON,DC,USA,US,N,491,416,0,10/1/2013 0:00,9/30/2014 0:00
674,2014,CAK,DEN,AKRON,OH,USA,DENVER,CO,USA,WN,N,372,280,0,10/1/2013 0:00,9/30/2014 0:00
676,2014,CAK,ORD,AKRON,OH,USA,CHICAGO,IL,USA,UA,N,224,172,0,10/1/2013 0:00,9/30/2014 0:00
677,2014,CDC,SLC,CEDAR CITY,UT,USA,SALT LAKE CITY,UT,USA,DL,N,159,0,0,10/1/2013 0:00,9/30/2014 0:00
678,2014,CHA,CLT,CHATTANOOGA,TN,USA,CHARLOTTE,NC,USA,DL,C,344,280,0,10/1/2013 0:00,9/30/2014 0:00
679,2014,CHA,DCA,CHATTANOOGA,TN,USA,WASHINGTON,DC,USA,US,N,429,219,0,10/1/2013 0:00,9/30/2014 0:00
680,2014,CHA,DFW,CHATTANOOGA,TN,USA,DALLAS-FT. WORTH,TX,USA,AA,N,418,209,0,10/1/2013 0:00,9/30/2014 0:00
681,2014,CHA,ORD,CHATTANOOGA,TN,USA,CHICAGO,IL,USA,AA,N,479,239,0,10/1/2013 0:00,9/30/2014 0:00
682,2014,CHO,IAD,CHARLOTTESVILLE,VA,USA,WASHINGTON,DC,USA,UA,N,399,307,0,10/1/2013 0:00,9/30/2014 0:00
683,2014,CHO,LGA,CHARLOTTESVILLE,VA,USA,NEW YORK,NY,USA,DL,N,345,265,0,10/1/2013 0:00,9/30/2014 0:00
685,2014,CHS,DFW,CHARLESTON,SC,USA,DALLAS-FT. WORTH,TX,USA,AA,N,562,281,0,10/1/2013 0:00,9/30/2014 0:00
686,2014,CHS,DTW,CHARLESTON,SC,USA,DETROIT,MI,USA,UA,C,181,0,0,10/1/2013 0:00,9/30/2014 0:00
688,2014,CHS,HOU,CHARLESTON,SC,USA,HOUSTON,TX,USA,WN,N,275,0,0,10/1/2013 0:00,9/30/2014 0:00
690,2014,CHS,IAH,CHARLESTON,SC,USA,HOUSTON,TX,USA,UA,N,457,352,0,10/1/2013 0:00,9/30/2014 0:00
691,2014,CHS,JFK,CHARLESTON,SC,USA,NEW YORK,NY,USA,B6,N,200,95,0,10/1/2013 0:00,9/30/2014 0:00
692,2014,CHS,LAX,CHARLESTON,SC,USA,LOS ANGELES,CA,USA,UA,C,221,0,0,10/1/2013 0:00,9/30/2014 0:00
693,2014,CHS,LGA,CHARLESTON,SC,USA,NEW YORK,NY,USA,DL,N,461,186,0,10/1/2013 0:00,9/30/2014 0:00
694,2014,CHS,MCI,CHARLESTON,SC,USA,KANSAS CITY,MO,USA,DL,C,308,154,0,10/1/2013 0:00,9/30/2014 0:00
695,2014,CHS,MDW,CHARLESTON,SC,USA,CHICAGO,IL,USA,WN,N,270,0,0,10/1/2013 0:00,9/30/2014 0:00
696,2014,CHS,MIA,CHARLESTON,SC,USA,MIAMI,FL,USA,AA,N,409,300,0,10/1/2013 0:00,9/30/2014 0:00
697,2014,CHS,MSY,CHARLESTON,SC,USA,NEW ORLEANS,LA,USA,DL,C,340,150,0,10/1/2013 0:00,9/30/2014 0:00
698,2014,CHS,ORD,CHARLESTON,SC,USA,CHICAGO,IL,USA,UA,N,341,263,0,10/1/2013 0:00,9/30/2014 0:00
699,2014,CHS,ORF,CHARLESTON,SC,USA,NORFOLK,VA,USA,US,C,503,313,0,10/1/2013 0:00,9/30/2014 0:00
700,2014,CHS,PHL,CHARLESTON,SC,USA,PHILADELPHIA,PA,USA,US,N,479,219,0,10/1/2013 0:00,9/30/2014 0:00
701,2014,CHS,PHX,CHARLESTON,SC,USA,PHOENIX/SCOTTSDALE,AZ,USA,DL,C,340,170,0,10/1/2013 0:00,9/30/2014 0:00
702,2014,CHS,SAN,CHARLESTON,SC,USA,SAN DIEGO,CA,USA,UA,C,277,0,0,10/1/2013 0:00,9/30/2014 0:00
703,2014,CHS,SAT,CHARLESTON,SC,USA,SAN ANTONIO,TX,USA,AA,C,350,175,0,10/1/2013 0:00,9/30/2014 0:00
704,2014,CHS,SEA,CHARLESTON,SC,USA,SEATTLE-TACOMA,WA,USA,DL,C,424,212,0,10/1/2013 0:00,9/30/2014 0:00
705,2014,CHS,SJU,CHARLESTON,SC,USA,SAN JUAN,PR,USA,DL,C,399,237,734,10/1/2013 0:00,9/30/2014 0:00
706,2014,CHS,STL,CHARLESTON,SC,USA,ST. LOUIS,MO,USA,DL,C,238,149,0,10/1/2013 0:00,9/30/2014 0:00
708,2014,CID,DCA,CEDAR RAPIDS,IA,USA,WASHINGTON,DC,USA,AA,C,254,127,0,10/1/2013 0:00,9/30/2014 0:00
709,2014,CID,DEN,CEDAR RAPIDS,IA,USA,DENVER,CO,USA,DL,C,374,149,0,10/1/2013 0:00,9/30/2014 0:00
710,2014,CID,DFW,CEDAR RAPIDS,IA,USA,DALLAS-FT. WORTH,TX,USA,AA,N,665,444,0,10/1/2013 0:00,9/30/2014 0:00
711,2014,CID,DTW,CEDAR RAPIDS,IA,USA,DETROIT,MI,USA,AA,C,378,189,0,10/1/2013 0:00,9/30/2014 0:00
712,2014,CID,MSP,CEDAR RAPIDS,IA,USA,MINNEAPOLIS-ST.PAUL,MN,USA,DL,N,389,296,0,10/1/2013 0:00,9/30/2014 0:00
713,2014,CID,ORD,CEDAR RAPIDS,IA,USA,CHICAGO,IL,USA,AA,N,143,119,0,10/1/2013 0:00,9/30/2014 0:00
714,2014,CLD,HNL,CARLSBAD,CA,USA,HONOLULU,HI,USA,UA,C,148,0,0,10/1/2013 0:00,9/30/2014 0:00
715,2014,CLE,CLT,CLEVELAND,OH,USA,CHARLOTTE,NC,USA,UA,N,374,0,0,10/1/2013 0:00,9/30/2014 0:00
716,2014,CLE,DCA,CLEVELAND,OH,USA,WASHINGTON,DC,USA,UA,N,422,372,0,10/1/2013 0:00,9/30/2014 0:00
717,2014,CLE,DEN,CLEVELAND,OH,USA,DENVER,CO,USA,UA,N,245,164,0,10/1/2013 0:00,9/30/2014 0:00
718,2014,CLE,DFW,CLEVELAND,OH,USA,DALLAS-FT. WORTH,TX,USA,AA,N,400,267,0,10/1/2013 0:00,9/30/2014 0:00
719,2014,CLE,DTW,CLEVELAND,OH,USA,DETROIT,MI,USA,DL,N,325,184,0,10/1/2013 0:00,9/30/2014 0:00
720,2014,CLE,EWR,CLEVELAND,OH,USA,NEWARK,NJ,USA,UA,N,333,0,0,10/1/2013 0:00,9/30/2014 0:00
721,2014,CLE,IAD,CLEVELAND,OH,USA,WASHINGTON,DC,USA,UA,N,213,194,0,10/1/2013 0:00,9/30/2014 0:00
722,2014,CLE,IAH,CLEVELAND,OH,USA,HOUSTON,TX,USA,UA,N,271,0,0,10/1/2013 0:00,9/30/2014 0:00
723,2014,CLE,IND,CLEVELAND,OH,USA,INDIANAPOLIS,IN,USA,DL,C,339,110,0,10/1/2013 0:00,9/30/2014 0:00
724,2014,CLE,JFK,CLEVELAND,OH,USA,NEW YORK,NY,USA,AA,N,204,102,0,10/1/2013 0:00,9/30/2014 0:00
725,2014,CLE,LAS,CLEVELAND,OH,USA,LAS VEGAS,NV,USA,WN,N,345,306,0,10/1/2013 0:00,9/30/2014 0:00
726,2014,CLE,LAX,CLEVELAND,OH,USA,LOS ANGELES,CA,USA,UA,N,289,262,0,10/1/2013 0:00,9/30/2014 0:00
727,2014,CLE,LGA,CLEVELAND,OH,USA,NEW YORK,NY,USA,AA,N,309,206,0,10/1/2013 0:00,9/30/2014 0:00
728,2014,CLE,MCI,CLEVELAND,OH,USA,KANSAS CITY,MO,USA,UA,N,213,194,0,10/1/2013 0:00,9/30/2014 0:00
729,2014,CLE,MCO,CLEVELAND,OH,USA,ORLANDO,FL,USA,UA,N,235,147,0,10/1/2013 0:00,9/30/2014 0:00
730,2014,CLE,MDT,CLEVELAND,OH,USA,HARRISBURG,PA,USA,UA,N,268,0,0,10/1/2013 0:00,9/30/2014 0:00
731,2014,CLE,MDW,CLEVELAND,OH,USA,CHICAGO,IL,USA,WN,N,179,0,0,10/1/2013 0:00,9/30/2014 0:00
732,2014,CLE,MHT,CLEVELAND,OH,USA,MANCHESTER,NH,USA,UA,N,260,200,0,10/1/2013 0:00,9/30/2014 0:00
733,2014,CLE,MIA,CLEVELAND,OH,USA,MIAMI,FL,USA,AA,N,456,228,0,10/1/2013 0:00,9/30/2014 0:00
734,2014,CLE,MKE,CLEVELAND,OH,USA,MILWAUKEE,WI,USA,UA,N,324,249,0,10/1/2013 0:00,9/30/2014 0:00
735,2014,CLE,MSP,CLEVELAND,OH,USA,MINNEAPOLIS-ST.PAUL,MN,USA,DL,N,339,226,0,10/1/2013 0:00,9/30/2014 0:00
